球员,投篮,三分,罚球,篮板,助攻,抢断,盖帽,失误,犯规,位置
西德尼-蒙克利夫,50.20%,28.40%,83.10%,4.7,3.6,1.2,0.3,2,2.1,g
雷-威廉姆斯,45.10%,23.70%,80.20%,3.6,5.8,1.8,0.3,3.2,3.3,g
德拉赞-皮特洛维奇,50.60%,43.70%,84.10%,2.3,2.4,0.9,0.1,2.1,2.6,g
迈克尔-迪克森,43.20%,40.20%,78.40%,2.9,2.6,1,0.4,1.9,2.6,g
奥斯汀-凯尔,44.90%,15.40%,80.40%,2.9,2.8,0.6,0.1,0.7,2,g
凯文-朗格利,41.30%,0,80.30%,3,3.7,0,0,0,3.4,g
马克-普莱斯,47.20%,40.20%,90.40%,2.6,6.7,1.2,0.1,2.5,1.3,g
安芬尼-哈达威,45.80%,31.60%,77.40%,4.5,5,1.6,0.4,2.5,2.2,g
弗莱德·卡特,42.50%,0,69.30%,3.9,3.5,0.6,0.1,0,2.8,g
昌西-比卢普斯,41.50%,38.70%,89.40%,2.9,5.4,1,0.2,2,2.1,g
菲尔-史密斯,47.60%,25.30%,77.90%,3,3.9,1.1,0.3,1.5,2.5,g
埃迪-约翰逊,47.60%,32.60%,79.10%,2.3,5.1,1.1,0.1,2.5,2.5,g
迈克尔-卡特-威廉姆斯,40.40%,25.20%,70.10%,5.5,6.3,1.7,0.6,3.6,2.8,g
迈克-纽林,46.60%,30.20%,87.00%,3,4,0.8,0.1,1,3,g
本-戈登,43.20%,40.10%,85.70%,2.5,2.5,0.7,0.2,2.1,2.3,g
米切尔-雷-理查德森,45.70%,22.00%,69.00%,5.5,7,2.6,0.4,3.3,3.3,g
埃迪-琼斯,43.70%,37.30%,80.90%,4,2.9,1.7,0.6,1.6,2.6,g
马克斯尔-扎斯洛夫斯基,34.30%,0,76.90%,1.6,2,0,0,0,2.4,g
迈克尔-亚当斯,41.50%,33.20%,84.90%,2.9,6.4,1.7,0.1,2.1,1.8,g
何塞-霍金斯,46.10%,39.40%,87.00%,3.6,2.9,1.7,0.3,1.9,2.1,g
杰森-特里,44.50%,38.00%,84.60%,2.5,4.2,1.2,0.2,1.9,1.9,g
迈克-毕比,43.60%,37.90%,80.20%,3.1,5.5,1.2,0.1,2.1,1.9,g
弗里曼-威廉姆斯,46.70%,33.10%,82.40%,1.6,1.6,0.8,0.1,1.8,1.7,g
雷克斯-查普曼,43.00%,35.00%,80.00%,2.5,2.7,0.9,0.2,1.5,1.8,g
马翰默德-劳夫,44.20%,35.40%,90.50%,1.9,3.5,0.8,0.1,1.6,1.9,g
弗莱德-布朗,47.80%,37.30%,85.80%,2.7,3.3,1.2,0.2,0.9,2,g
杰夫-霍纳塞克,49.60%,40.30%,87.70%,3.4,4.9,1.4,0.2,1.8,2.2,g
弗林-罗宾逊,45.60%,0,84.90%,2.6,3.1,0,0,0,2.6,g
杰纳-苏,39.60%,0,80.60%,4.1,3.7,0,0,0,2,g
尼克-范埃克塞尔,40.50%,35.70%,79.40%,2.9,6.6,0.8,0.1,2.1,1.6,g
吉姆-杰克逊,42.80%,36.50%,82.50%,4.7,3.2,0.8,0.2,2.5,2.2,g
杰伦-罗斯,44.30%,35.50%,80.10%,3.5,3.8,0.8,0.3,2.3,2.6,g
史蒂夫-纳什,49.00%,42.80%,90.40%,3,8.5,0.7,0.1,2.9,1.6,g
吉姆-帕克森,49.80%,22.50%,80.70%,2,2.9,1.2,0.1,1.5,1.8,g
鲍伯-戴维斯,37.80%,0,75.90%,2.1,4.9,0,0,0,3.4,g
史蒂夫-史密斯,44.00%,35.80%,84.50%,3.2,3.1,0.8,0.3,1.8,2.4,g
马努-吉诺比利,45.00%,36.80%,82.60%,3.7,4,1.4,0.3,2.1,2.1,g
韦斯利-马修斯,44.00%,39.00%,82.70%,3.1,2.1,1.1,0.2,1.4,2.2,g
O.J.-梅奥,43.10%,37.50%,82.20%,3.2,2.9,1,0.3,2.1,2.2,g
詹姆斯-塞拉斯,48.50%,0.00%,85.20%,2.1,3.4,0.7,0.2,1.9,2,g
奎因汀-戴利,45.40%,15.80%,77.90%,2.5,2.3,0.9,0.1,1.9,2.3,g
科瑞-基德尔斯,43.90%,37.80%,78.00%,3.9,2.6,1.6,0.4,1.2,1.8,g
丹尼斯-约翰逊,44.50%,17.20%,79.70%,3.9,5,1.3,0.6,2.2,2.8,g
拉里-休斯,40.60%,30.90%,75.70%,4.2,3.1,1.5,0.4,2.1,2.3,g
拜伦-斯科特,48.20%,37.00%,83.30%,2.8,2.5,1.1,0.3,1.5,1.9,g
弗兰克-鲍姆霍尔特兹,29.80%,0,77.60%,0,1.2,0,0,0,2.1,g
杰里-斯隆,42.70%,0,72.20%,7.4,2.5,0.5,0,0,3.6,g
迈克-伍德森,46.60%,27.10%,81.30%,2.3,2.3,1.2,0.3,1.7,2.3,g
埃尔文-罗伯特森,47.70%,29.50%,74.30%,5.2,5,2.7,0.4,2.7,3.4,g
罗恩-布恩,45.40%,33.70%,85.40%,2.8,3.4,1.1,0.1,2,2.7,g
