投篮,三分,罚球,篮板,助攻,抢断,盖帽,失误,犯规,位置
45.10%,34.40%,79.60%,5.9,2.3,1.3,0.8,2.4,2.5,f
48.40%,16.70%,78.00%,6.8,3.4,0.8,0.4,0.8,3.5,f
45.10%,34.60%,72.40%,7.5,1.6,1,0.4,1.6,2.4,f
45.60%,40.00%,84.60%,4.4,2.1,1,0.3,1.7,2.4,f
51.20%,28.00%,75.30%,9.4,3.2,0.5,1.7,2.3,2.3,f
47.00%,0,79.60%,7.1,2.1,0.1,0,0,2.6,f
50.90%,38.40%,86.50%,4.1,3.5,1.6,0.6,2.3,2.1,f
46.80%,30.70%,80.70%,6.1,2.1,0.8,0.6,2.3,3.4,f
47.20%,29.70%,81.00%,7.5,2.5,1,0.8,2.6,2.8,f
45.00%,0,79.80%,6.9,3,0,0,0,3.2,f
49.70%,27.60%,78.90%,10.1,3.7,1.3,1.4,2.2,2.4,f
55.40%,26.10%,79.80%,7.3,1.7,0.4,1.7,1.9,2.8,f
43.40%,29.70%,75.30%,4.4,2,1,0.6,2.2,2.3,f
49.90%,13.50%,75.90%,6.2,2.5,1.3,0.3,1.5,2.8,f
52.10%,24.10%,76.90%,5.1,3,1.1,0.7,2,2.1,f
42.90%,0,80.50%,5.9,1.4,0.3,0.1,0,2.7,f
41.40%,32.50%,63.30%,7.7,3.5,1.2,0.5,2.8,2.8,f
50.10%,26.20%,78.40%,8.1,2,0.5,0.2,0.4,2.5,f
47.40%,28.20%,82.40%,4.3,2.5,1,0.2,2,2.9,f
44.80%,8.00%,65.10%,9.8,3.8,1.7,0.4,2.4,3.8,f
46.80%,18.40%,72.20%,8.3,2,1,0.7,2.5,3,f
52.80%,21.90%,76.80%,6.8,2.2,0.9,0.3,2.1,2.3,f
47.30%,36.10%,84.90%,3.8,3,1,0.2,2.4,2.3,f
44.00%,0,69.90%,12.7,2.6,0,0,0,3.5,f
54.60%,14.50%,75.50%,8,2.6,0.9,2.2,1.9,2.9,f
47.20%,26.10%,76.30%,9.5,1.8,0.8,0.3,2.1,2.4,f
45.00%,40.10%,89.50%,4.7,1.8,0.9,0.1,1.4,1.7,f
48.90%,10.00%,79.80%,7.8,2.6,1.3,0.3,2.2,2.1,f
49.90%,0,78.30%,15.6,3.3,0,0,0,2.9,f
49.90%,12.90%,70.80%,9,1.6,0.7,1.3,1.4,2.7,f
45.90%,0.00%,68.50%,8.7,3.2,0.8,0.6,0.9,3.3,f
43.40%,38.00%,84.80%,4.9,1.9,1,0.8,1.9,2.8,f
42.00%,0,77.60%,6.3,1.2,0,0,0,3.2,f
48.30%,31.40%,76.90%,6,4.1,1.2,0.6,2.4,2.3,f
49.70%,0.00%,73.50%,8.4,1.6,0.9,1.3,2.2,3.3,f
46.70%,0,78.50%,8,4.1,0.5,0.3,0,2.9,f
44.70%,29.50%,76.90%,9.3,2.5,0.8,1.3,2.6,2.6,f
48.40%,29.50%,70.60%,7.3,1.9,1.1,0.5,1.9,3.2,f
35.10%,0,69.80%,17.3,5.3,0,0,0,3.9,f
30.20%,0,76.60%,2.8,1.2,0,0,0,3.6,f
52.10%,7.10%,72.20%,9.5,2.2,0.9,0.4,2.1,3,f
48.40%,33.20%,76.60%,7.5,3.3,0.7,0.4,2,2.7,f
47.30%,32.60%,70.40%,6.4,5.2,2,0.8,2.8,2.8,f
50.10%,10.00%,73.60%,8.6,2.1,0.9,1.7,2,3,f
43.20%,0,69.90%,11,2.9,0.1,0,0,3.2,f
42.90%,36.80%,82.80%,6.2,3,1.6,0.5,2.3,2.6,f
47.20%,33.50%,84.00%,4,2.1,0.6,0.2,1.7,2.5,f
44.30%,36.10%,83.50%,6.8,1.6,0.8,0.5,2.2,3,f
51.30%,9.10%,73.70%,4.3,1.9,0.6,0.7,2.1,2.5,f
45.30%,32.40%,82.20%,4.9,2.1,0.7,0.2,2.3,2.8,f
45.90%,36.60%,77.20%,4.8,3,1,0.2,1.8,2.7,f
40.60%,0,81.20%,9.1,1.6,0,0,0,3.1,f
45.80%,33.20%,77.10%,6.2,2.4,1,0.5,1.7,1.7,f
48.50%,26.10%,71.80%,6.1,2,0.9,0.5,2.2,2.9,f
43.10%,0,76.70%,9.4,2.1,0,0,0,3.5,f
49.70%,32.70%,83.50%,6.2,5.3,2.3,0.8,2.7,2.6,g
47.40%,0,81.40%,5.8,6.7,0.1,0,0,2.6,g
42.50%,31.30%,78.00%,3.7,6.2,2.2,0.2,3.6,1.9,g
51.10%,29.70%,84.40%,4.6,2.8,1.2,0.8,2.7,2.9,g
48.50%,0,83.80%,7.5,9.5,0.1,0,0,2.8,g
44.90%,33.10%,83.70%,5.3,4.8,1.5,0.5,3,2.5,g
44.10%,66.70%,82.00%,4.2,5.4,0.9,0.2,0.8,2.8,g
49.00%,28.80%,76.60%,4.9,5.9,1.7,0.9,3.4,2.4,g
50.40%,27.70%,77.80%,3.8,3.2,0.9,0.8,2.2,2.5,g
45.50%,0,80.50%,2.8,4.6,0.6,0.1,0,2.4,g
47.40%,44.20%,90.10%,4.2,6.8,1.7,0.2,3.2,2.6,g
43.40%,30.50%,82.00%,5.3,7.3,1.7,0.3,3.7,2.4,g
45.50%,38.80%,85.00%,3.9,3.5,1.2,0.3,2.6,2.6,g
45.30%,39.00%,86.20%,3.5,5.7,1.4,0.3,2.8,2.2,g
42.10%,35.10%,80.30%,3.9,5.3,1.6,0.2,3.2,3,g
42.80%,36.70%,86.30%,3.8,6.2,0.9,0.3,2.7,2.2,g
47.20%,31.80%,78.80%,6.1,5.6,2,0.7,2.7,3,g
44.10%,0,77.50%,3.8,6,0.5,0.1,0.2,2.9,g
45.60%,33.70%,75.30%,2.7,3.7,1,0.3,2.1,2.6,g
44.90%,29.30%,83.30%,2.5,2.8,1.1,0.2,2,2.9,g
44.20%,36.60%,85.50%,4.4,4.6,1.4,0.4,2.8,2.5,g
44.80%,30.00%,81.20%,3.7,6.4,0.8,0.4,2.9,1.4,g
52.00%,30.30%,84.80%,7.2,11.2,1.9,0.4,3.9,2.3,g
43.90%,37.40%,79.90%,4.7,3.5,1.1,0.6,2,2.8,g
43.30%,32.50%,78.40%,3,7.6,1.2,0.1,3,2.4,g
45.20%,0,80.10%,5,4,0,0,0,3.4,g
45.20%,29.00%,75.90%,3.6,9.3,1.9,0.3,3.8,3,g
45.30%,31.30%,77.20%,3.5,4.8,1.7,0.3,2.8,2.4,g
48.40%,26.80%,87.10%,2.6,2.4,0.6,0.1,1.7,1.9,g
44.70%,38.00%,83.80%,3.8,2.1,0.9,0.1,1.5,1.6,g
51.10%,27.20%,85.10%,3,3.8,1.2,0.1,2.5,2.4,g
49.00%,0.00%,78.60%,5.9,6.1,0.8,0.1,0.2,2.6,g
45.20%,40.00%,89.40%,4.1,3.4,1.1,0.2,2.1,2.2,g
46.40%,0,80.70%,3,3.9,0.5,0.1,0.3,2.6,g
45.90%,34.80%,80.00%,4.3,4.7,1,0.2,1.8,1.9,g
46.70%,22.40%,81.00%,2.3,7.4,0.8,0.1,1.3,2.3,g
47.30%,36.40%,86.20%,4.4,9.9,2.3,0.1,2.4,2.5,g
45.60%,0,80.70%,3.2,4.7,0.5,0.1,0.4,2.7,g
47.10%,25.20%,82.60%,3.3,6.3,1.2,0.2,3.4,2.9,g
37.50%,0,80.30%,5.2,7.5,0,0,0,2.4,g
42.50%,33.70%,80.40%,4.1,4,1.4,0.4,2.7,1.8,g
47.10%,39.50%,88.80%,3,3,1.1,0.2,1.7,2,g
42.90%,34.10%,79.70%,5.6,6,1.5,0.4,3.5,3.1,g
